PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
14593,29/11/2019,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,30/10/2019,,,,,14/11/2019,11/11/2019,0,,,1232,0.77000,0.00000,0.00000,,,,,,,,1,6,65,1,255.82001,267.84000,267.25000,4495545,0.077424,267.17999,267.19000,4443265,4,4,267.25000,,29/11/2019,0.074329,0.034999,0.032986,0.026601,0.024938,0.034047
14593,31/12/2019,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,01/01/2020,,,,,1,6,64,1,259.45001,293.64999,293.64999,5984993,0.098784,293.38000,293.39999,4384959,4,4,293.64999,,31/12/2019,0.098784,0.028489,0.026242,0.044379,0.040641,0.028590
14593,31/01/2020,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,26/03/2020,,,,,1,6,64,1,297.42999,324.34000,309.51001,7346625,0.054010,309.34000,309.39999,4375480,4,4,309.51001,,31/01/2020,0.054010,-0.001728,-0.002849,-0.013334,-0.014200,-0.001628
14593,28/02/2020,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,28/01/2020,,,,,13/02/2020,10/02/2020,0,,,1232,0.77000,0.00000,0.00000,,,,,,,,1,6,64,1,273.35999,327.20001,273.35999,7538341,-0.114310,274.57999,274.63000,4375480,4,4,273.35999,,28/02/2020,-0.116798,-0.077918,-0.079868,-0.069814,-0.071321,-0.084110
14593,31/03/2020,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,16/04/2020,,,,,1,6,65,1,224.37000,302.73999,254.28999,15678412,-0.069761,254.28999,254.30000,4323987,4,4,254.28999,,31/03/2020,-0.069761,-0.141733,-0.143685,-0.207503,-0.209773,-0.125119
14593,30/04/2020,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,25/06/2020,,,,,1,6,65,1,240.91000,293.79999,293.79999,8151167,0.155374,293.82999,293.98999,4334335,4,4,293.79999,,30/04/2020,0.155374,0.129674,0.128408,0.153868,0.152519,0.126844
14593,29/05/2020,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,30/04/2020,,,,,14/05/2020,11/05/2020,0,,,1232,0.82000,0.00000,0.00000,,,,,,,,1,6,65,1,289.07001,319.23001,317.94000,7011777,0.084956,317.89999,317.92001,4334335,4,4,317.94000,,29/05/2020,0.082165,0.053739,0.051688,0.064070,0.062277,0.045282
14593,30/06/2020,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,16/07/2020,,,,,1,6,65,1,321.85001,366.53000,364.79999,8095231,0.147386,364.59000,364.59000,4283939,4,4,364.79999,,30/06/2020,0.147386,0.025299,0.023522,0.057391,0.054855,0.018388
14593,31/07/2020,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,30/08/2020,,,,,1,6,65,1,364.10999,425.04001,425.04001,7543023,0.165132,425.17999,425.48999,4275634,4,4,425.04001,,31/07/2020,0.165132,0.055531,0.054411,0.040737,0.039671,0.055101
14593,31/08/2020,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,30/07/2020,,,,,28/08/2020,24/08/2020,0,,,5523,0.00000,3.00000,3.00000,,,24/09/2020,,,,,1,6,65,1,129.03999,506.09000,129.03999,11844232,0.216309,128.78999,128.85001,17102536,1,1,129.03999,,31/08/2020,0.214380,0.068442,0.066798,0.038884,0.037315,0.070065
