GVKEY,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,act,aqc,at,capx,ceq,ebit,ebitda,epsfi,epsfx,epspi,epspx,fincf,ivncf,lct,lo,lt,ni,oancf,revt,seq,teq,xrd,costat
5284,2020-12-31,2020,INDL,C,D,STD,USD,1304.0000,91.0000,7643.0000,110.0000,1753.0000,723.0000,924.0000,3.6900,3.6900,3.7300,3.7300,120.0000,-211.0000,255.0000,75.0000,5240.0000,410.0000,652.0000,2381.0000,2403.0000,2403.0000,,A
5284,2020-12-31,2020,INDL,C,D,STD,USD,1304.0000,91.0000,7643.0000,110.0000,1753.0000,723.0000,924.0000,3.6900,3.6900,3.7300,3.7300,120.0000,-211.0000,255.0000,75.0000,5240.0000,410.0000,652.0000,2381.0000,2403.0000,2403.0000,,A
5284,2021-12-31,2021,INDL,C,D,STD,USD,963.0000,3765.0000,11108.0000,207.0000,1757.0000,423.0000,644.0000,0.4000,0.4000,0.4000,0.4000,2650.0000,-3534.0000,384.0000,43.0000,8701.0000,90.0000,300.0000,2413.0000,2407.0000,2407.0000,,A
5284,2021-12-31,2021,INDL,C,D,STD,USD,963.0000,3765.0000,11108.0000,207.0000,1757.0000,423.0000,644.0000,0.4000,0.4000,0.4000,0.4000,2650.0000,-3534.0000,384.0000,43.0000,8701.0000,90.0000,300.0000,2413.0000,2407.0000,2407.0000,,A
5284,2022-12-31,2022,INDL,C,D,STD,USD,857.0000,58.0000,11152.0000,436.0000,2116.0000,988.0000,1324.0000,4.3300,4.3300,4.3800,4.3800,-454.0000,-503.0000,409.0000,15.0000,8386.0000,455.0000,829.0000,3676.0000,2766.0000,2766.0000,,A
5284,2022-12-31,2022,INDL,C,D,STD,USD,857.0000,58.0000,11152.0000,436.0000,2116.0000,988.0000,1324.0000,4.3300,4.3300,4.3800,4.3800,-454.0000,-503.0000,409.0000,15.0000,8386.0000,455.0000,829.0000,3676.0000,2766.0000,2766.0000,,A
5338,2020-10-31,2020,INDL,C,D,STD,USD,1302.8000,0.0000,5510.9000,136.8000,1152.2000,398.7000,640.9000,2.2500,2.2500,2.2500,2.2500,-405.3000,-25.2000,1000.1000,354.8000,4290.2000,108.8000,454.7000,4515.0000,1152.2000,1200.7000,,A
5338,2020-10-31,2020,INDL,C,D,STD,USD,1302.8000,0.0000,5510.9000,136.8000,1152.2000,398.7000,640.9000,2.2500,2.2500,2.2500,2.2500,-405.3000,-25.2000,1000.1000,354.8000,4290.2000,108.8000,454.7000,4515.0000,1152.2000,1200.7000,,A
5338,2021-10-31,2021,INDL,C,D,STD,USD,1664.1000,0.0000,5815.8000,147.3000,1514.3000,527.1000,761.5000,8.0300,8.0300,8.0500,8.0500,-422.9000,46.8000,1314.1000,289.7000,4216.1000,390.7000,396.0000,5556.1000,1514.3000,1575.6000,,A
5338,2021-10-31,2021,INDL,C,D,STD,USD,1664.1000,0.0000,5815.8000,147.3000,1514.3000,527.1000,761.5000,8.0300,8.0300,8.0500,8.0500,-422.9000,46.8000,1314.1000,289.7000,4216.1000,390.7000,396.0000,5556.1000,1514.3000,1575.6000,,A
5338,2022-10-31,2022,INDL,C,D,STD,USD,1499.4000,0.0000,5469.9000,183.0000,1761.3000,704.4000,921.0000,7.7500,7.7500,7.8100,7.8100,-531.0000,-28.2000,1047.9000,219.4000,3659.8000,376.7000,657.5000,6349.5000,1761.3000,1794.3000,,A
5338,2022-10-31,2022,INDL,C,D,STD,USD,1499.4000,0.0000,5469.9000,183.0000,1761.3000,704.4000,921.0000,7.7500,7.7500,7.8100,7.8100,-531.0000,-28.2000,1047.9000,219.4000,3659.8000,376.7000,657.5000,6349.5000,1761.3000,1794.3000,,A
5338,2023-10-31,2023,INDL,C,D,STD,USD,1369.1000,542.4000,5960.8000,219.6000,1947.9000,597.0000,827.6000,7.5700,7.5700,7.6300,7.6300,69.7000,-670.2000,939.3000,194.8000,3849.2000,359.2000,649.5000,5218.6000,1947.9000,1986.3000,,A
5338,2023-10-31,2023,INDL,C,D,STD,USD,1369.1000,542.4000,5960.8000,219.6000,1947.9000,597.0000,827.6000,7.5700,7.5700,7.6300,7.6300,69.7000,-670.2000,939.3000,194.8000,3849.2000,359.2000,649.5000,5218.6000,1947.9000,1986.3000,,A
5395,2020-12-31,2020,INDL,C,D,STD,USD,,,40.9080,,,,,,,,,,,,11.8100,18.4200,,,,22.4880,22.4880,,A
5395,2021-12-31,2021,INDL,C,D,STD,USD,,,48.2840,,,,,,,,,,,,13.1400,25.2560,,,,23.0280,23.0280,,A
5395,2022-12-31,2022,INDL,C,D,STD,USD,,,57.8880,,,,,,,,,,,,15.0290,27.5210,,,,30.3670,30.3670,,A
5439,2020-12-31,2020,INDL,C,D,STD,USD,9475.0000,0.0000,20680.0000,728.0000,4974.0000,1363.0000,2421.0000,-3.3400,-3.3400,-3.3400,-3.3400,-1007.0000,-486.0000,4421.0000,1261.0000,15697.0000,-2945.0000,1881.0000,14445.0000,4974.0000,4983.0000,309.0000,A
